"date","indexP","daily_indexP","week_start_date","weekly_indexP"
2014-03-14,1.14080521569103,1.14080521569103,2014-03-12,1.16487130601189
2014-03-15,1.16996059365373,1.16996059365373,2014-03-12,1.16487130601189
2014-03-16,1.19527514095932,1.19527514095932,2014-03-12,1.16487130601189
2014-03-17,1.20379265207378,1.20379265207378,2014-03-12,1.16487130601189
2014-03-18,1.21239935029767,1.21239935029767,2014-03-12,1.16487130601189
2014-03-19,1.2340850410426,1.2340850410426,2014-03-19,1.22741212273162
2014-03-20,1.26687678752375,1.26687678752375,2014-03-19,1.22741212273162
2014-03-21,1.26358463006404,1.26358463006404,2014-03-19,1.22741212273162
2014-03-22,1.22914720237253,1.22914720237253,2014-03-19,1.22741212273162
2014-03-23,1.20498279688301,1.20498279688301,2014-03-19,1.22741212273162
2014-03-24,1.19817828603188,1.19817828603188,2014-03-19,1.22741212273162
