"week_start_date","weekly_indexP"
2017-07-19,0.5246535025508
2017-07-26,0.445950226540138
2017-08-02,0.445368553510353
2017-08-09,0.397575751369197
2017-08-16,0.386345400801758
2017-08-23,0.393176023747051
2017-08-30,0.376723310143717
2017-09-06,0.38222024729656
2017-09-13,0.413916536287933
2017-09-20,0.466802177048074
2017-09-27,0.499395149166405
2017-10-04,0.527642643986394
2017-10-11,0.59238072167863
2017-10-18,0.583771303743039
2017-10-25,0.613075729361075
2017-11-01,0.658256475250973
2017-11-08,0.725356098303308
2017-11-15,0.812729021669511
2017-11-22,0.947727933468986
2017-11-29,1.02743017692499
2017-12-06,1.0142802180508
2017-12-13,1.09247401459987
2017-12-20,1.12324779520965
2017-12-27,1.17142980365798
2018-01-03,1.1465068486588
2018-01-10,1.07719721012137
2018-01-17,1.0507213970658
