"","Date","d2m","t2m","tp","RH"
"layer.393",2015-01-28,22.4010973567421,28.3477429668068,0.0151850170317582,70.2151034094779
"layer.394",2015-01-29,22.2714834228167,29.3389173836699,0.000206598871180366,65.7751732103248
"layer.395",2015-01-30,21.5882785851279,30.4445946100134,0.0219511300629159,59.2033191535565
"layer.396",2015-01-31,22.4989072220606,27.2784460966021,0.0476107098635196,75.1844356263237
"layer.397",2015-02-01,21.3361033747314,26.9595033335629,0.00423011188741835,71.3581409581587
"layer.398",2015-02-02,21.2041771941147,26.9606147497382,0.000562981923966548,70.7786104551359
"layer.399",2015-02-03,20.6261094203626,27.0930753502697,0.00220544294985058,67.7779322932005
"layer.400",2015-02-04,20.8139138792011,27.6988779960873,9.81344638106737e-05,66.1760212901392
"layer.401",2015-02-05,21.417861733335,23.5767835906428,0.950452941893579,87.7077846537596
"layer.402",2015-02-06,21.6425279191106,25.4318651685111,0.508135088639935,79.5784951865345
"layer.403",2015-02-07,21.6501357598075,26.0741963592909,0.186408996494281,76.6405350723469
"layer.404",2015-02-08,22.1061425320984,25.3051233093908,0.447234906387737,82.4817974545876
"layer.405",2015-02-09,22.2212362889118,27.0210219028308,0.0455808759541723,75.0506209094642
"layer.406",2015-02-10,22.4195465229549,27.3352024159552,0.0337685854944338,74.5742410906618
"layer.407",2015-02-11,21.8836909783781,28.0528741517106,0.00381691414505762,69.2147776633077
"layer.408",2015-02-12,22.233181879998,28.9857093231527,0,66.9757900691197
"layer.409",2015-02-13,22.2569022365573,29.6786604688266,0,64.4418656678402
"layer.410",2015-02-14,22.9514486747718,28.9821797348141,0.00578993336483014,69.9751422762049
"layer.411",2015-02-15,21.8556145686852,27.5944587624519,0.00453484522240944,70.9705833611688
"layer.412",2015-02-16,21.7331143013617,26.7529752647657,0.0584984703747258,74.0063639177104
"layer.413",2015-02-17,21.9654981442997,27.5021842764777,0.0407722872274488,71.8348053283412
"layer.414",2015-02-18,21.377150329189,27.5356614788496,0.0163523006539274,69.1614591729356
"layer.415",2015-02-19,20.9800112833489,28.6097340706804,0.000366712996345201,63.4010340942888
"layer.416",2015-02-20,20.725749560107,28.6805211772649,0.000113629379149201,62.1612820660521
"layer.417",2015-02-21,21.4272998484578,27.6580789186696,0.0042042870285208,68.8793415150458
"layer.418",2015-02-22,21.5356948008726,27.4319090949194,0.0536279019866483,70.2615267531858
"layer.419",2015-02-23,22.5840027810341,27.4804207270083,0.070915062532667,74.6851299672087
"layer.420",2015-02-24,21.636915077538,27.4471051851711,0.0286759233198374,70.6350373364796
"layer.421",2015-02-25,21.4300818655851,28.2771040490456,0.0284693244486569,66.4482127224934
"layer.422",2015-02-26,21.927739582894,28.1187642912682,0.00523728138442271,69.1351143384506
"layer.423",2015-02-27,22.0590312683764,27.4352904944346,0.0438816002387135,72.5291156442361
"layer.424",2015-02-28,22.222590691987,28.1795823315529,0.0226793910838266,70.1397783995775
"layer.425",2015-03-01,20.4136267613486,26.1054574651677,0.211030416967204,70.9036065960081
"layer.426",2015-03-02,19.9226373438646,25.8835918531511,0.0348119097938947,69.6925382847909
