#node	date	numeric date
NODE_0000026	2017-12-05	2017.927687
OM128440|Brazil|RJ|2018-03-20	2018-03-20	2018.215068
OM128435|Brazil|RJ|2018-03-19	2018-03-19	2018.212329
NODE_0000027	2018-01-05	2018.011185
NODE_0000029	2018-03-28	2018.236986
MK244645|Brazil|RJ|Niteroi|2018-03-28	2018-03-28	2018.236986
MK244643|Brazil|RJ|Niteroi|2018-03-28	2018-03-28	2018.236986
NODE_0000145	2018-03-29	2018.239200
MK244650|Brazil|RJ|Niteroi|2018-04-03	2018-04-03	2018.253425
OM128431|Brazil|RJ|2018-06-06	2018-06-06	2018.428767
NODE_0000030	2017-06-19	2017.464776
MK244654|Brazil|RJ|Niteroi|2018-03-06	2018-03-06	2018.176712
NODE_0000031	2017-10-12	2017.778615
116|Brazil|RJ|Duque-de-Caxias|2018-04-05	2018-04-05	2018.258904
134|Brazil|RJ|Duque-de-Caxias|2018-04-19	2018-04-19	2018.297260
NODE_0000033	2017-10-03	2017.754078
NODE_0000034	2017-10-03	2017.754078
MK244647|Brazil|RJ|Niteroi|2018-03-27	2018-03-27	2018.234247
MK244646|Brazil|RJ|Niteroi|2018-03-28	2018-03-28	2018.236986
NODE_0000035	2017-10-30	2017.830123
MK244648|Brazil|RJ|Niteroi|2018-04-04	2018-04-04	2018.256164
NODE_0000036	2017-12-11	2017.943892
MK244653|Brazil|RJ|Niteroi|2018-03-06	2018-03-06	2018.176712
MK244651|Brazil|RJ|Niteroi|2018-04-05	2018-04-05	2018.258904
